household_income_2021,age,finance_400_emergency,financial_stability,financial_capacity,income
"Under $15,000",28.0,No,Extremely unstable,2 – I can afford only some of these items,257.0
"Under $15,000",66.0,No,Extremely unstable,3 – my time fluctuates,12432.0
"$25,000 to $34,999",35.0,No,Unstable,2 – I can afford only some of these items,27955.0
"Under $15,000",30.0,No,Unstable,2 – I can afford only some of these items,6416.0
"$35,000 to $49,999",62.0,Yes,Unstable,2 – I can afford only some of these items,48687.0
"$35,000 to $49,999",35.0,No,Fluctuating,1 – I cannot afford these items,45770.0
"$25,000 to $34,999",69.0,No,Stable,3 – my time fluctuates,32435.0
"$15,000 to $24,999",46.0,No,Unstable,1 – I cannot afford these items,24332.0
"$15,000 to $24,999",22.0,No,Unstable,1 – I cannot afford these items,17790.0
"$35,000 to $49,999",40.0,No,Unstable,1 – I cannot afford these items,41352.0
"$25,000 to $34,999",30.0,No,Unstable,3 – my time fluctuates,25849.0
"$15,000 to $24,999",62.0,No,Unstable,3 – my time fluctuates,23339.0
"$25,000 to $34,999",37.0,Yes,Fluctuating,3 – my time fluctuates,28991.0
"Under $15,000",52.0,Yes,Unstable,2 – I can afford only some of these items,5831.0
"$25,000 to $34,999",26.0,No,Fluctuating,1 – I cannot afford these items,26850.0
"Under $15,000",23.0,No,Unstable,1 – I cannot afford these items,10603.0
"Under $15,000",24.0,No,Extremely unstable,1 – I cannot afford these items,5643.0
"$25,000 to $34,999",35.0,Yes,Fluctuating,1 – I cannot afford these items,32003.0
"Under $15,000",20.0,Yes,Unstable,2 – I can afford only some of these items,11786.0
"$15,000 to $24,999",23.0,No,Fluctuating,2 – I can afford only some of these items,24399.0
"$25,000 to $34,999",24.0,Yes,Fluctuating,2 – I can afford only some of these items,33947.0
"$35,000 to $49,999",28.0,Yes,Unstable,1 – I cannot afford these items,37198.0
"$25,000 to $34,999",54.0,No,Unstable,1 – I cannot afford these items,26041.0
"$75,000 to $99,999",40.0,No,Fluctuating,3 – my time fluctuates,90398.0
"$25,000 to $34,999",30.0,Yes,Unstable,2 – I can afford only some of these items,34128.0
"$15,000 to $24,999",61.0,Yes,Fluctuating,3 – my time fluctuates,20497.0
"Under $15,000",42.0,No,Extremely unstable,1 – I cannot afford these items,9787.0
"Under $15,000",33.0,Yes,Fluctuating,2 – I can afford only some of these items,277.0
"Under $15,000",21.0,No,Fluctuating,3 – my time fluctuates,2115.0
"$75,000 to $99,999",41.0,Yes,Fluctuating,2 – I can afford only some of these items,75409.0
"$35,000 to $49,999",35.0,No,Unstable,1 – I cannot afford these items,43595.0
"$35,000 to $49,999",25.0,No,Fluctuating,2 – I can afford only some of these items,43590.0
"Under $15,000",73.0,No,Unstable,2 – I can afford only some of these items,583.0
"$50,000 to $74,999",37.0,Yes,Unstable,3 – my time fluctuates,51593.0
"Under $15,000",37.0,No,Extremely unstable,1 – I cannot afford these items,8880.0
"$15,000 to $24,999",45.0,No,Unstable,2 – I can afford only some of these items,16207.0
"$15,000 to $24,999",60.0,Yes,Unstable,3 – my time fluctuates,17106.0
"$15,000 to $24,999",55.0,No,Unstable,2 – I can afford only some of these items,15014.0
