county_fips,county,community,Number of Artists,fips
1,Albany County   ,Rural  ,10,36001
1,Albany County   ,Suburban  ,32,36001
1,Albany County   ,Urban  ,107,36001
3,Allegany County   ,Rural  ,17,36003
3,Allegany County   ,Urban  ,2,36003
5,Bronx County   ,Rural  ,25,36005
5,Bronx County   ,Suburban  ,42,36005
5,Bronx County   ,Tribal  ,6,36005
5,Bronx County   ,Urban  ,1289,36005
7,Broome County   ,Rural  ,15,36007
7,Broome County   ,Suburban  ,31,36007
7,Broome County   ,Urban  ,24,36007
9,Cattaraugus County   ,Rural  ,11,36009
9,Cattaraugus County   ,Tribal  ,8,36009
9,Cattaraugus County   ,Urban  ,2,36009
11,Cayuga County   ,Rural  ,13,36011
11,Cayuga County   ,Suburban  ,4,36011
11,Cayuga County   ,Urban  ,2,36011
13,Chautauqua County    ,Rural  ,26,36013
13,Chautauqua County    ,Suburban  ,14,36013
13,Chautauqua County    ,Tribal  ,1,36013
13,Chautauqua County    ,Urban  ,15,36013
15,Chemung County   ,Rural  ,9,36015
15,Chemung County   ,Suburban  ,10,36015
15,Chemung County   ,Urban  ,6,36015
17,Chenango County   ,Rural  ,16,36017
17,Chenango County   ,Suburban  ,1,36017
19,Clinton County   ,Rural  ,13,36019
19,Clinton County   ,Suburban  ,1,36019
21,Columbia County   ,Rural  ,65,36021
21,Columbia County   ,Suburban  ,8,36021
21,Columbia County   ,Urban  ,13,36021
23,Cortland County   ,Rural  ,14,36023
23,Cortland County   ,Suburban  ,2,36023
23,Cortland County   ,Urban  ,1,36023
25,Delaware County   ,Rural  ,44,36025
25,Delaware County   ,Suburban  ,1,36025
27,Dutchess County   ,Rural  ,70,36027
27,Dutchess County   ,Suburban  ,88,36027
27,Dutchess County   ,Urban  ,48,36027
29,Erie County   ,Rural  ,21,36029
29,Erie County   ,Suburban  ,73,36029
29,Erie County   ,Tribal  ,5,36029
29,Erie County   ,Urban  ,229,36029
31,Essex County   ,Rural  ,11,36031
31,Essex County   ,Urban  ,1,36031
33,Franklin County   ,Rural  ,15,36033
33,Franklin County   ,Tribal  ,31,36033
33,Franklin County   ,Urban  ,2,36033
35,Fulton County   ,Rural  ,6,36035
35,Fulton County   ,Urban  ,1,36035
37,Genesee County   ,Rural  ,10,36037
37,Genesee County   ,Suburban  ,1,36037
39,Greene County   ,Rural  ,41,36039
39,Greene County   ,Suburban  ,1,36039
43,Herkimer County   ,Rural  ,12,36043
43,Herkimer County   ,Suburban  ,2,36043
43,Herkimer County   ,Urban  ,2,36043
45,Jefferson County   ,Rural  ,19,36045
45,Jefferson County   ,Suburban  ,5,36045
45,Jefferson County   ,Urban  ,5,36045
47,Kings County (Brooklyn)  ,Rural  ,45,36047
47,Kings County (Brooklyn)  ,Suburban  ,193,36047
47,Kings County (Brooklyn)  ,Tribal  ,14,36047
47,Kings County (Brooklyn)  ,Urban  ,7762,36047
49,Lewis County   ,Rural  ,3,36049
51,Livingston County   ,Rural  ,19,36051
53,Madison County   ,Rural  ,10,36053
53,Madison County   ,Suburban  ,3,36053
