id,lgbtqiap
N3R8BXQE4K,Yes  
0LTH6QJQH8,Yes  
R3S4V21D40,Yes  
BZEFVJAYBT,I prefer not to answer  
4HF20W8D84,No  
DBLJ7W1AJV,Yes  
T8RAL818WX,No  
VJSNADKNIA,No  
7LMUEX56QJ,Yes  
CK5Q7211S1,Yes  
KYO3UY4G8C,Yes  
G3BSHLQTSB,Yes  
9FW9R9KMUV,Yes  
IN0O94G3O9,No  
CIH1I40YRR,Yes  
YV4VD3CW87,Yes  
HFDFZ3YNBQ,I prefer not to answer  
JMYWUBVZDQ,Yes  
78J9XORDGO,No  
QLFML6Y0RY,No  
67L52CMRO6,Yes  
88MLU3K5VI,Yes  
WEHS93JQSQ,Yes  
JOFEZF2WNL,Yes  
279L656A6F,Yes  
SOLSCMXI1W,No  
N2K8RW5G2C,No  
J4FJ66BZEP,I prefer not to answer  
HSVMQ0Z094,Yes  
K9S6JRYJ6I,Yes  
K75YTLKSKY,Yes  
1RUNPWQJO4,No  
1FODOFWQER,I prefer not to answer  
L95PYJXU7H,No  
ZT7OEP1PYU,Yes  
C1Y5S6MNYO,Yes  
4WT93P1QPE,I prefer not to answer  
JW1LXX0UX6,No  
KFRFNUP5UE,I prefer not to answer  
QX8VU3V6K9,No  
AR7FXM0HSI,No  
E07TSKK7I3,Yes  
TSTE87Y99F,No  
S8DQ7PFTVE,No  
PKX5MD5R5M,Yes  
9O0F5S5FY1,Yes  
U2K5YL4ODE,No  
VNI2AC1D34,Yes  
1M4INJ9UPO,Yes  
72NGNYYASD,Yes  
MKMV2S2RKA,Yes  
ZP1HS4MNE5,No  
UGVSEHR9EI,Yes  
DANTO7L2CK,No  
06TQYSGE9A,I prefer not to answer  
A2NSVFBCRH,No  
HQR2Z89T52,Yes  
5FZGFN73UX,Yes  
JF05M5O9LI,Yes  
1F14YTPV45,No  
LUC0FP3US5,Yes  
AEU5EOPEFA,I prefer not to answer  
AAD0VJIZZB,Yes  
BT86THQ757,Yes  
1TBC87XWE1,No  
DTSI8XREIP,No  
LQSI8FXA0W,Yes  
HPOM8H6B29,Yes  
JD2QL4QRWN,No  
NK5CZIH96E,I prefer not to answer  
KTXXIN6MQY,Yes  
23955SY1K6,No  
RYX3CGW7Z7,Yes  
738ZZCOXDE,Yes  
P2RBX4K7Z9,No  
QT5MZTYFCS,I prefer not to answer  
UIZHIC5M9V,Yes  
72T1067E7G,No  
H0HKZ0UWHK,Yes  
R1HZ463RSX,Yes  
J3RJF85QLB,Yes  
K6Q5DUQRVH,No  
Q20KEBBWT1,No  
N9VC8ZZBMF,No  
BF05FZ8Y5T,I prefer not to answer  
74G6GSG2TP,No  
886L0D7D25,Yes  
NPY7Z23FDD,No  
74EI92DLZY,Yes  
PNWBE9T2JN,Yes  
9ROXTEQ36U,Yes  
ZSEIIDGC8N,I prefer not to answer  
7NPCLFAORO,No  
U6C739FYUV,No  
L0EYNGX925,Yes  
4AIBLKG5G9,Yes  
NR7XTGFE81,No  
AFCB0505Q2,Yes  
EN0UX6BO29,Yes  
9NFEZ4BAAR,Yes  
U1S1M9O6GJ,Yes  
WNCBSFCOJ8,Yes  
I5YM7558EA,No  
FCWMLQ7RQJ,No  
4JK6BIEUBE,No  
4QKO9D0WR9,No  
IIFBL4BOBN,No  
TUK3AJOIPT,Yes  
CZ677LJDWD,I prefer not to answer  
