earning_mode,household_income_2021,debt,age,income
Art Practice,"Under $15,000",Yes,28.0,11232.0
Contracts or Temporary Jobs,"Under $15,000",Yes,28.0,10637.0
Unemployed,"Under $15,000",Yes,66.0,5950.0
Contracts or Temporary Jobs,"Under $15,000",Yes,66.0,3355.0
Art Practice,"$25,000 to $34,999",Yes,35.0,26743.0
One or More Part-time Jobs,"Under $15,000",Yes,30.0,8428.0
Unemployed,"$35,000 to $49,999",Yes,62.0,44426.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,62.0,39667.0
Other,"$35,000 to $49,999",Yes,62.0,45487.0
Fulltime Job,"$35,000 to $49,999",Yes,35.0,47457.0
Other,"$25,000 to $34,999",Yes,69.0,31458.0
Art Practice,"$15,000 to $24,999",Yes,46.0,19467.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,46.0,20229.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,46.0,24144.0
Art Practice,"$15,000 to $24,999",Yes,22.0,22836.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,22.0,18513.0
Unemployed,"$35,000 to $49,999",Yes,40.0,40463.0
Family Support,"$35,000 to $49,999",Yes,40.0,47161.0
Unemployed,"$25,000 to $34,999",Yes,30.0,33080.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,30.0,30856.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,62.0,17816.0
Other,"$15,000 to $24,999",Yes,62.0,23188.0
Art Practice,"$25,000 to $34,999",Yes,37.0,34124.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,37.0,34536.0
Unemployed,"Under $15,000",Prefer not to answer ,52.0,2439.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,26.0,29698.0
One or More Part-time Jobs,"Under $15,000",Yes,23.0,9431.0
Art Practice,"Under $15,000",Yes,24.0,12121.0
Contracts or Temporary Jobs,"Under $15,000",Yes,24.0,9388.0
Contracts or Temporary Jobs,"$25,000 to $34,999",No,35.0,34421.0
Family Support,"Under $15,000",Yes,20.0,7478.0
Contracts or Temporary Jobs,"Under $15,000",Yes,20.0,13389.0
Family Support,"$15,000 to $24,999",No,23.0,17210.0
One or More Part-time Jobs,"$15,000 to $24,999",No,23.0,20138.0
Art Practice,"$25,000 to $34,999",Yes,24.0,27122.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,24.0,32902.0
Contracts or Temporary Jobs,"$35,000 to $49,999",No,28.0,42754.0
One or More Part-time Jobs,"$35,000 to $49,999",No,28.0,43935.0
Fulltime Job,"$25,000 to $34,999",Yes,54.0,34081.0
Contracts or Temporary Jobs,"$75,000 to $99,999",Yes,40.0,91752.0
Contracts or Temporary Jobs,"$25,000 to $34,999",No,30.0,34778.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,61.0,22969.0
Art Practice,"Under $15,000",Yes,42.0,3732.0
Unemployed,"Under $15,000",Yes,33.0,3593.0
Art Practice,"Under $15,000",Yes,33.0,10966.0
Contracts or Temporary Jobs,"Under $15,000",Yes,21.0,12668.0
One or More Part-time Jobs,"Under $15,000",Yes,21.0,10630.0
Contracts or Temporary Jobs,"$75,000 to $99,999",No,41.0,89090.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,35.0,49306.0
Fulltime Job,"$35,000 to $49,999",Yes,25.0,41920.0
Unemployed,"Under $15,000",Yes,73.0,11806.0
Fulltime Job,"$50,000 to $74,999",Yes,37.0,71379.0
Art Practice,"Under $15,000",Yes,37.0,8132.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,45.0,21958.0
Other,"$15,000 to $24,999",Yes,45.0,19295.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,60.0,17741.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,55.0,19130.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,55.0,23979.0
Other,"$15,000 to $24,999",Yes,55.0,15703.0
Unemployed,"$15,000 to $24,999",No,36.0,19755.0
One or More Part-time Jobs,"$15,000 to $24,999",No,36.0,15078.0
Other,"$15,000 to $24,999",No,36.0,20644.0
